Concultatory,Title,ΔΗΜΟΣΙΟ,ΔΙΟΡΙΣΜΟΣ ΠΡΟΣΛΗΨΗ,ΕΤΑΙΡΕΙΕΣ ΑΝΩΝΥΜΕΣ,ΠΡΟΣΩΠΙΚΟ ΥΠΑΛΛΗΛΟΙ,ΥΠΑΛΛΗΛΟΙ ΔΗΜΟΣΙΟΙ
καταχωρηση επωνυμιας εξαγωγικης εταιρειας ειδικο μητρωο εξαγωγεων περιπτωση αντιπροεδρος καταδικαστει παραβαση περι επιταγων εταιρεια εκπροσωπουν υπογραφοντες κοινου προεδρος αντιπροεδρος,Εξαγωγικές εταιρείες. Εγγραφή επωνυμίας ΑΕ στο Ειδικό Μητρώο Εξαγωγέων.,0,0,1,0,0
χορηγουμενη υπηρετουντες χωρες ειδικων συνθηκων διμηνη κανονικη αδεια πληρων αποδοχων αποτελουσα υπο προβλεπομενη κανονικη αδεια κατηγοριας υπαλληλων χορηγειται κανονικη αδεια λοιπων υπαλληλων εξωτερικης υπηρεσιας υπουργειου οποτεδηποτε ημερολογιακου ετους τοποθετησεως εγκαταστασεως υπαλληλου θεση ετους λαβει κανονικη αδεια προηγουμενης θεσεώς,Υπάλληλοι Υπουργείου Εξωτερικών. Υπηρεσία σε ώρες ειδικών συνθηκών. Κανονική άδεια.,0,0,0,0,1
εισαγγελικος παρεδρος συμπληρωσε διετη δοκιμαστικη υπηρεσια κατοπιν θετικης κρισεως ανωτατου δικαστικου συμβουλιου διορισθηκε ισοβιος δικαστικος λειτουργος βαθμο αντεισαγγελεως πρωτοδικων δικαιουται λαμβανει αποδοχες νεου βαθμου περιπτωση ορκωμοσια αναληψη νεων καθηκοντων εφεξης καθυστερησε ανακοινωση διορισμου αποφαση υπηρεσιας υπηρεσιακων αναγκων παλαια θεση ζητησει αποδοχων χρονικο διαστημα αποζημιωση διαταξεις επεισνακ,Δικαστικοί Λειτουργοί. Διορισμός μετά συμπλήρωση διετούς δοκιμαστικής υπηρεσίας και κρίσεως του Ανωτάτου Δικαστικού Συμβουλίου. Χρόνος ενάρξεως καταβολής αποδοχών.,0,1,0,0,0
δυνατοτητα μονιμοποιησεως προσωπικου φυλαξεως κτιριων ιδιοκτησιας μτπυ,δυνατότητα μονιμοποιήσεως του προσωπικού φυλάξεως των κτιρίων ιδιοκτησίας του Μ.Τ.Π.Υ.,0,0,0,1,0
μεταβιβαση εταιρικου μετοχικου κεφαλαιου εταιρειας «ηδικα αε» ελληνικο δημοσιο ικαεταμ επελθει ευθεως συνταξη μεταβιβαστικου συμβολαιογραφικου εγγραφου αλλου ιδιωτικου εγγραφου ενεργειες προβει διοικηση ικαεταμ μεταβιβασθουν ελληνικο δημοσιο ικαεταμ μετοχες εταιρειας «ηδικα αε» συνιστανται διατυπωσεις οριζουν διαταξεις οφειλει εταιρεια «ηδικα αε» τηρησει ικαεταμ ελεγξει εποπτευσει πλεον προκυπτει σειρα αλλων ενεργειων ικαεταμ απορρεουν διαταξεις πλαισια εποπτειας ελεγχου ασκειται ικαεταμ εταιρεια «ηδικα αε»,Μεταβίβαση των μετοχών της εταιρείας με την επωνυμία «ΗΛΕΚΤΡΟΝΙΚΗ ΔΙΑΚΥΒΕΡΝΗΣΗ ΚΟΙΝΩΝΙΚΗΣ ΑΣΦΑΛΙΣΗΣ Α.Ε.» και το διακριτικό τίτλο «Η.ΔΙ.Κ.Α. Α.Ε.» από το Ελληνικό Δημόσιο στο ΙΚΑ-ΕΤΑΜ.,0,0,1,0,0
δημοσιος υπαλληλος πραξη μεταταξεως πασχει αποψη νομιμοτητας προσμετρησει διετελεσε προισταμενος γενικο οργανισμο εγγειων βελτιωσεων πεδιαδων θεσσαλονικης λαγκαδα νπιδ συνολικο υπηρεσιας δημοσιου υπαλληλου επειδη εκδοση πραξεως μεταταξεώς παρελθει τεσσερα χρονια πραξη ανακληθει ακυρωθει,Προσμέτρηση χρόνου υπηρεσίας δημοσίου υπαλλήλου.,0,0,0,0,1
προσωπικο υπουργειου γεωργιας μετατεθει εθιαγε επισης προσωπικο εθιαγε μετατεθει υπουργειο γεωργιας αντιθετως αποσπαση προσωπικου υπουργειου γεωργιας εθιαγε αντιστροφως διαταξεων επιλογη τοποθετηση προισταμενων υπηρεσιων ερευνας μεταφερθηκαν υπουργειο γεωργιας εθιαγε δημοσιευση σχετικων κανονισμων λειτουργιας καταστασεως προσωπικου ενταξη υπηρετουντος επιστημονικου προσωπικου ενεργειται υπο εθιαγε διαταξεως,Υπουργείο Γεωργίας. Προσωπικό. Απόσπαση ή μετάταξη στο Εθνικό Ιδρυμα Αγροτικής Ερευνας.,0,0,0,0,1
αναφερομενη αποφαση υπουργου περιβαλλοντος χωροταξιας δημοσιων εργων «μεταβολη» προυποθεσεων εκδοσεως ανωνυμης εταιρειας περιπτωση αλλαγης μελων επερχεται ολοκληρωνεται ημερα ληψεως σχετικης αποφασεως νομον αρμοδιου οργανου επομενης ημερας αρχιζει δεκαημερος προθεσμια ενημερωσεως υπηρεσιας εκδοσεως περι επελθουσης μεταβολης,Ενημερότητα Πτυχίου (Ε.Π.) ανώνυμης εταιρείας – Μεταβολή μελών του Διοικητικού Συμβουλίου αυτής – Ημερομηνία μεταβολής κατά την Υπουργική Απόφαση υπ’ αριθμ. Δ15/οικ/24298/28-7-2005.,0,0,1,0,0
διοικηση φιλιππου ενωσεως ελλαδος φεε ολοκληρωσει αρξαμενη διαδικασια μονιμοποιησεως κτηνιατρων συντρεχουν προυποθεσεις εφαρμογης,Ιππόδρομος. Φίλιππος Ενωση Ελλάδος (ΦΕΕ Κτηνίατροι. Μονιμοποίηση. Προϋποθέσεις.,0,0,0,0,1
επιτρεπεται ανακληση αποφασης γενικου γραμματεα περιφερειας κεντρικης μακεδονιας υπηχθη διαταξεις εταιρεια link systems πλανη περι πραγματα εκτιμηση πραγματικων δεδομενων γινεται διοικηση γνωμοδοτησεις νομικου συμβουλιου κρατους ερωτηματων περιφερειας γινονται αποδεκτες γενικο γραμματεα περιφερειας,"Δυνατότητα αγοράς μετοχών ΑΕ από αλλοδαπούς υπαλλήλους των εταιρειών του ΑΝ 89/1967, καθώς και συμμετοχή τους στο κεφάλαιο ΕΠΕ.",0,0,1,0,0
ταμειο παρακαταθηκων δανειων υποχρεουται παρακρατηση δικηγορικης αμοιβης προς αποδοση παρακατατεθεισης αποζημιωσεως αποδοσή οικειο δικηγορικο συλλογο εστω πινακα καταταξεως συνταχθηκε υπαρξεως υποθηκης απαλλοτριωθεντος κατεταγη δικηγορικη αμοιβη,Ταμείο Παρακαταθηκών και Δανείων. Απαλλοτρίωση. Πίνακας κατατάξεως παρακράτηση δικηγορικής αμοιβής.,0,1,0,1,0
συνδυασμο διαταξεων προκυπτει ανωνυμη εταιρια αποτελει δημοσια επιχειρηση πλην λειτουργει κανονες ιδιωτικης οικονομιας διεπεται ειδικες διαταξεις ιδρυτικου υπαγεται διαταξεις προμηθειες σχετικες προμηθειες διαταξεις εγινε προσαρμογη ελλ νομοθεσιας οδηγια,Κρατικές Προμήθειες. Υπαγωγή της Ανώνυμης Εταιρίας Εκμετάλλευσης και Διαχείρισης Ελληνικών Αυτοκινητοδρόμων ΤΕΟ ΑΕ στον Ν 2286/1995.,0,0,1,0,0
περ τυγχανει εφαρμογης εκμισθωση ακινητου εταδ στεγαση υπηρεσιων ααδε υπο εξυπακουομενη προυποθεση ακινητο περιηλθε κυριοτητα εταδ ανεξαρτητως γεγονοτος συνολο μετοχων τελευταιας μεταβιβασθηκε ελληνικο δημοσιο εταιρεια επωνυμια «ελληνικη εταιρεια συμμετοχων περιουσιας αε» εταδ εξακολουθει διεπεται διαταξεις αξιοποιει χαριν δημοσιου συμφεροντος προσφορο μεσον περιουσιακα στοιχεια περιηλθαν συμπεριλαμβανομενης εκμισθωσεως ομοφ,Μίσθωση ακινήτου χωρίς δημοπρασία για τη στέγαση υπηρεσιών της Ανεξάρτητης Αρχής Δημοσίων Εσόδων (ΑΑΔΕ,0,0,1,0,0
υπαλληλοι κεντρου ερευνων δημοκριτος μονιμοποιησή λαμβανουν επιδομα ανθυγιεινης εργασιας ραδιενεργειας ιδιο μονιμοποιησή ποσοστο βασεως προσδιοριζεται μονιμους υπαλληλους δημοσιου επιδομα ισχυει διαταξη,"Επίδομα ραδιενεργείας υπαλλήλων Κέντρου Ερευνών ""Δημόκριτος"" μετά την μονιμοποίησή τους.",0,0,0,1,1
γενικος γραμματεας περιφερειας αρμοδιοτητα κειμενη νομοθεσια ασκησει ελεγχο νομιμοτητας προσληψεως προσωπικου συμβαση εργου συναπτει δημοτικη επιχειρηση,Αρμοδιότητα του Γενικού Γραμματέα Περιφέρειας να ασκήσει έλεγχο νομιμότητας επί προσλήψεως προσωπικού με σύμβαση έργου που πρόκειται να συνάψει Δημοτική Επιχείρηση (ΝΠΙΔ,0,1,0,0,0
ειδικο προσωπικο σχολειων ειδικης αγωγης διοριζεται κενες θεσεις ενιαιες κατηγορια κλαδο συγκεκριμενες κενες θεσεις σχολικης μοναδας ακολουθιαν ψυχολογος κλαδου ειδικου προσωπικου διοριστει τοποθετηθει συγκεκριμενο σχολειο ειδικης αγωγης υποβαλει νεου αιτηση διορισμου κενη θεση ιδιας κατηγοριας κλαδου προκηρυχθηκε νεωτερη προκηρυξη,Εκπαίδευση. Σχολεία Ειδικής Αγωγής. Ειδικό Προσωπικό. Διορισμός. Υπηρεσιακή κατάσταση.,0,1,0,1,0
προσμετρηση χρονου δυνητικης αργιας συνεπεια ασκησεως πειθαρχικης ποινικης διωξεως χορηγηση ανωτερου μισθολογικου κλιμακιου,Υπάλληλοι Δημόσιοι. Μισθολογική εξέλιξη. Χρόνοι δυνητικής αργίας.,0,0,0,0,1
κατηγορια κριτηριων μοριοδοτειται επιμορφωση υπο ουσιαστικη ανεξαρτητως αναγνωρισεως οικειου τιτλου αρμοδιο προς φορεα κριτηριο συμμετοχης κεντρικα περιφερειακα συμβουλια μοριοδοτουνται υποψηφιοι συμμετειχαν τακτικα αναπληρωματικα μελη εστω μια φορα συνεδριασεις συμβουλιων κριτηριο κατηγοριας μοριοδοτηθουν τοσο ασκησαν διευθυντικα καθηκοντα συμμορφωση αποφασεων διοικ δικαστηριων επανακριθησαν αρμοδιως τοποθετηθηκαν αναδρομικα θεσεις προισταμενων εστω ουδεποτε ασκησαν καθηκοντα θεσεων,Δημόσιες δασικές εκτάσεις. Παραχώρηση για αθλητικές εγκαταστάσεις.,1,0,0,0,0
προς διαρκεια αποσπασεως αποσπασμενων σωμα ελεγκτων δημοσιας διοικησης ελεγκτων προισχυσασων διαταξεων εφαρμογη προισχυσασες διαταξεις αρθρα εδγ αποφασεων υπουργου προεδριας κυβερνησεως επιφυλαξη εφαρμογης διαταξεων,Εκχώρηση απαίτησης από μισθώματα λόγω ενεχύρου. Αναγγελία εκχώρησης στο Δημόσιο. Κατάσχεση εις χείρας του Δημοσίου ως τρίτου. Προσδιορισμός δικαιούχου των μισθωμάτων.,1,0,0,0,0
ανωνυμη εταιρεια «αττικη οδος αε» αναδοχος εργου «παραχωρηση μελετης κατασκευης αυτοχρηματοδοτησης εκμεταλλευσης ελευθερης λεωφορου ελευσινας σταυρου αεροδρομιου σπατων δυτικης περιφερειακης λεωφορου υμηττου» σχηματιζει προβλεπομενο σχετικης συμβασης μελετης κατασκευης εργου ειδικο αφορολογητο αποθεματικο περιπτωση ζημιογονου οικονομικης χρησεως,"Σχηματισμός από την ανώνυμη εταιρεία «ΑΤΤΙΚΗ ΟΔΟΣ Α.Ε.», του προβλεπόμενου από το άρθρο 62.3 της αναφερόμενης σύμβασης ειδικού αφορολόγητου αποθεματικού, επί ζημιογόνου οικονομικής χρήσεως.",0,0,1,0,0
θεση δημοσιου υπαλληλου αναδρομικως διαθεσιμοτητα ενεκα νοσου υποχρεωτικη διαρκει ενα ετος αναρρωτικες αδειες εμπιπτουν ετος διαθεσιμοτητας στερουνται εννομων συνεπειων γνωματευση υγειονομικης επιτροπης ετος διαθεσιμοτητας λαμβανεται υποψη αναφερεται δυσιατο νοσημα συνεπαγεται παραταση διαθεσιμοτητας συμπληρωσεως συνολικα ετων,Υπάλληλοι δημόσιοι. Θέση σε διαθεσιμότητα λόγω νόσου. Τύχη αναρρωτικών αδειών. Παράταση διαθεσιμότητας.,0,0,0,0,1
υφισταται υποχρεωση πανεπιστημιου προβει ανακληση παρανομων πραξεών ενοψει ακυρωσης συμβουλιο επικρατειας αλλων ομοιου περιεχομενου πραξεων συνιστα παραλειψη οφειλομενης νομιμης ενεργειας ικανοποιηση σχετικου αιτηματος ανακληση,"Ανάκληση ή μη πράξεων διορισμού μελών Δ.Ε.Π., λόγω ανεπαρκούς τεκμηρίωσης της εξαίρεσης μέλους Δ.Ε.Π. από τα αντίστοιχα Εκλεκτορικά Σώματα.",0,1,0,0,0
διαταξεις νομων επιβαλλουν καταχωριση τυπο ορισμενων δημοσιευσεων συναδουν προς διαταξη εδα συνταγματος απορρεει αξιωση ζητουντος δημοσιευση υποχρεωση εκδοτη εντυπου προβει αξιωση υποκειται περιορισμο συνταγματος απαγορευει καταχρηστικη ασκηση δικαιωματος,Τύπος. Καταχώριση κρατικών δημοσιεύσεων. Κατάχρηση δικαιώματος.,1,0,0,0,0
προεδρευων συντονιστης παπιδας διαμαντοπουλος νομικοι συμβουλοι διοικησεως αποσπασμα πτωχευτικη απαιτησις δημοσιου φορων πτωχευτικη πτωχευσεως αποκτησει τιτλον εφοριακης βεβαιωσεως βεβαιωσεως ευρεια αποψιν λογος περι αναγγελτεας πτωχευσιν απαιτησεως φορου δημοσιου γινη στοιχειοθετησεως τουλαχιστον εφοριακου τιτλου γενικωτερον υποβολης φορολογικου χαρακτηρος δηλωσεως προς ταυτης τιτλου προκυπτουσαν απαιτησιν δημοσιου πρωτοδικου τουλαχιστον δικαστικης αποφασεως επικυρωσεως πραξεως φορολογουσης αρχης προσδιοριζουσης ελεγχον αιτιας νομον τοιαυτην απαιτησιν φορου δημοσιου βεβαιωσις ευρεια μεν στενη βεβαιωσεως επιδιωχθη προς εισπραξιν απαιτησις δημοσιου τουτοις υπο φορολογουσης αρχης νυν προισταμενου δου αναγγελια τοιαυτης απαιτησεως πτωχευσει επιτρεπτη εφικτη δημοσιον ωστε αποφευχθη αλλως απωλεια δυνατοτητος πτωχευσει καταταξεως πληρως γεγεννημενης προκυπτουσης συγκεκριμενων δεσμευτικων μερη φορολογικης σχεσεως γραπτων στοιχειων εχαρακτηριζοντο πτωχευτικαι φορων απαιτησεις δημοσιου εκειναι τας κηρυξεως πτωχευσεως υποβληθη υπο ταυτα πτωχου φορολογικη δηλωσις τας ελεγχον προκυπτουσας φορολογικας απαιτησεις εκδοθη οριστικοποιηθη παροδου προθεσμιας προσβολης δυναμει πρωτοδικου δικαστικης αποφασεως πραξις φορολογουσης αρχης εφικτη υπο δημοσιου επιμελως φερομενου αναγγελια τοιαυτης απαιτησεώς οσονδηποτε ελεγχον προκυπτουσα ελογιζετο υπο αιρεσιν δηλ τελικης οριστικης οριστικοποιησεώς φορολογικη δηλωσις υπεβληθη νομον κηρυξιν πτωχευσεως ταυτης προφανως περαιτερω ελεγχου απαιτησις δημοσιου ητο γεγεννημενη κηρυξιν πτωχευσεως αρα πτωχευτικη απαιτησις μεταπτωχευτικη οσονδηποτε ουσιαν φορολογικην ενοχην απαιτησιν αναγομενην χρονον προγενεστερον πτωχευσεως βεβαιωσις στενη εγινε πτωχευσιν στοιχειον οποιον επιδρα χαρακτηρισμον τουτον δηλωσις αποτελουσα τιτλον ευρεια βεβαιωσεως υπηρξεν πτωχευσιν,"Προϋποθέσεις χαρακτηρισμού απαιτήσεως του Δημοσίου εκ φόρου ως πτωχευτικής (προνομιακής ή μη, υποκειμένης ή μη στον πτωχευτικό συμβιβασμό) ή μεταπτωχευτικής.",1,0,0,0,0
ταπα νομιμοποιειται καταβολην βαρυνοντος εργοδοτου ποσοστου αναφερομενης εδαφιον παραγραφου προσθετου εισφορας μεταγενεστερως νομιμως αυξηθει εξαγορα συνταξιμου υπηρεσιας μονιμων υπαλληλων υπηρετουσαν εκτακτοι,Ν.Π.Δ.Δ. Υποχρέωση καταβολής εισφορών μονίμου προσωπικού για χρόνο υπηρεσίας του επί σχέση ιδιωτικού δικαίου.,0,0,0,1,0
παρανομος καταλογισμος αποζημιωσεως παροχης εκπαιδευσεως εκπληρωσεως υποχρεωσεως παραμονης πολεμικο ναυτικο βαρος πρωην κελευστου αποστρατευθεντος αυτεπαγγελτως συνεχεις φορες κρισεώς παραμενοντος βαθμο διοικηση ανακαλεσει παρανομη καταλογιστικη αποφαση παροδο απρακτου προθεσμιας ασκησεως εφεσεως ελεγκρικο συνεδριο,Κελευστές Πολεμικού Ναυτικού. Καταβολή αποζημιώσεως λόγω μη συμπληρώσεως απαιτουμένου χρόνου παραμονής. Ανάκληση παράνομης καταλογιστικής πράξεως.,0,0,0,0,1
μεταβιβαζομενο συμβολαιο πωλησης συμβολαιογραφου αθηνων ακινητο ανεξαρτητο αυτοτελες αρτιο προεκυψε παρανομη κατατμηση μεγαλυτερου ενιαιου ακινητου ειδικοτερα περιγραφεται πωλητηριο συμβολαιο δημογεροντιας πατμου,ΥΠ.ΠΟ. Πρόσληψη φύλακα Αρχαιολογικού Μουσείου. Δυνατότητα χορήγησης σε αιτούσα ορισμένων συναφών στοιχείων.,0,1,0,0,0
παραχωρηση δημοσιου κτηματος προς ιδρυση επεκταση χωρων καμπινγκ camping δημοπρασιας,Δημόσια κτήματα. Παραχώρηση προς ίδρυση ή επέκταση χώρων κάμπινγκ. Δημοπρασία.,1,0,0,0,0
προυποθεση προτιμηση παρχιακης βιομηχανιας προμηθειες δημοσιου προσφορα αντισυμβαλλομενης εταιρειας προτιμηθει απεναντι αλλων προσφορων ειδους προιοντωνπαραγωγής βιομηχανιας κεντρου συντρεχει περιπτωση προτιμησεως προκειται μεταπωληση εμπορο προιοντων ιδιος προμηθευτει παρχιακη βιομηχανια συνεχεια προσφερει ελληνικο δημοσιο,Προστασία παρχιακής βιομηχανίας. Προυποθέσεις.,1,0,0,0,0
μισθολογικη προαγωγη λοχαγων υποπλοιαρχων προερχονται ανθυπασπιστες διεπεται διαταξεις συνδυασμο προστεθηκε αντικατασταθηκε,Πολεμικό Ναυτικό. Υποπλοίαρχοι. Μισθολογική προαγωγή.,0,0,0,0,1
τεχνικες εταιρειες ασκουν αποδεδειγμενα εμπορικη δραστηριοτητα εμπορικη ιδιοτητα τυπικο κριτηριο επε εγγραφονται υποχρεωτικα εμπορικο βιομηχανικο επιμελητηριο εδρας ασχετα αναγγελια εναρξης εργασιων τεχνικο επιμελητηριο αποκτουν ιδιοτητα μελους,Επιμελητήρια. Τεχνικές εταιρείες με εμπορική δραστηριότητα. Εγγραφές.,0,0,1,0,0
αλληλεγγυως συνυπευθυνοι νομικο προσωπο ναυτιλιακης εταιρειας πλοιων αναψυχης νεπα λυθει εκκαθαριστει διακοψει εργασιες δου καταβολη προστιμου κωδικα βιβλιων στοιχειων κβς επιβληθει βαρος εταιρειας παραβαση τελεστηκε λειτουργιας εφαρμογη διαταξεων παραπεμπει διαλυσης εταιρειας νομιμος εκπροσωπος νομιμως διορισθεντες αποδεχθεντες διορισμο εκκαθαριστες εταιρειας,"Ποιά πρόσωπα είναι συνυπεύθυνα με το νομικό πρόσωπο Ναυτιλιακής Εταιρείας Πλοίων Αναψυχής (Ν.Ε.Π.Α.) για την πληρωμή προστίμου του Κώδικα Βιβλίων και Στοιχείων (Κ.Β.Σ.), το οποίο έχει καταλογιστεί εις βάρος της εταιρείας μετά τη λύση της, το πέρας της εκκαθάρισης και τη διακοπή των εργασιών της και  σε παράβαση που τελέσθηκε κατά τη λειτουργία της.",0,0,1,0,0
εκδοση κοινης υπουργικης αποφασης επαναπροσληψεως δικαιωθεντων υπαλληλων επιτροπη υποχρεωτικη διοικηση,ΗΛΠΑΠ. Επαναπρόσληψη απολυθέντων.,0,1,0,1,0
προκυπτει πρακτικα γενικης συνελευσης μετοχων εταιρειας εμπορικος δεσμος ανωνυμος εμπορικη βιομηχανικη εταιρεια βουληση γενικης συνελευσης ερμηνευομενης διαταξη φυση θεματων συναγεται θεματα λειτουργουν συνολο ενιαιο ολο συναγεται ακυροτητα επρεπε συνεπιφερει ακυροτητα ολοκληρης δικαιοπραξιας αποφαση επισης συναγεται ολοκληρη δικαιοπραξια αυξηση μετοχικου κεφαλαιου παραπανω επιχειρηθει ακυρο μερος συμπεραινεται εποπτευουσα αρχη μπορουσε οψει αιτηματος εταιρειας οικονομιας περιττων ενεργειων εγκρινει τροποποιηση καταστατικου εταιρειας μερος αυξηση μετοχικου κεφαλαιου καταβολη μετοχους μετρητων εισφορα μετοχων τρεις αλλες ανωνυμες εταιρειες κριθει νομιμη απορριπτοντας αιτημα αυξησης κεφαλαιου μερος κρινεται παρανομο υλοποιηθει τελει εγκριτικη αποφαση διοικηση μερει συννομη αυξηση μετοχικου κεφαλαιου εταιρειας αντιστοιχη τροποποιηση καταστατικου εταιρεια τηρουμενων υπο διαταξεων κειμενης νομοθεσιας διατυπωσεων προσκλησεως δημοσιοτητος συγκαλεσει γενικη συνελευση αποφασισει σχετικα,"Εταιρείες Ανώνυμες. Έγκριση αύξησης του μετοχικού κεφαλαίου και τροποποίησης του σχετικού άρθρου του καταστατικού της εταιρείας με την επωνυμία ""ΕΜΠΟΡΙΚΟΣ ΔΕΣΜΟΣ ΑΝΩΝΥΜΟΣ ΕΜΠΟΡΙΚΗ ΚΑΙ ΒΙΟΜΗΧΑΝΙΚΗ ΕΤΑΙΡΕΙΑ"".",0,0,1,0,0
διοικηση οφειλει ικανοποιησει αιτημα ενδιαφερομενης χορηγηση αιτουμενων εγγραφων αφορουν επιλεγεντες συνυποψηφιους μεν εγγραφα περιεχουν απλα προσωπικα δεδομενα αδεια αρχης προστασιας δεδομενων προσωπικου χαρακτηρα απχ περιεχοντα ευαισθητα προσωπικα δεδομενα περ υστερα αδεια αρχης ενημερωση υποκειμενων,Πλήρωση θέσεων στην ΜΕΑ της Ελλάδας στην ΕΕ – Δυνατότητα ή μη χορήγησης σε υποψηφία που δεν επελέγη των πράξεων απόσπασης και των φακέλων των δικαιολογητικών των επιλεγέντων συνυποψηφίων της.,0,0,0,0,1
οφειλομενη οσφυαλγια εκπροθεσμος υποβολη περι επιδοτησεως αιτησης συνιστα ανωτεραν βιαν δικαιολογουσαν εκπροθεσμον,Ε.Σ.Υ. Ιατροί. Διορισμός. Αναδρομική ισχύς της διατάξεως της παρ.5 του άρθρου 23 του Ν.2519/1997.,0,1,0,0,0
καλυψη δαπανης μεταπτυχιακου υποτροφου προγραμμα τεχνικης βοηθειας ουνεσκο,κάλυψη δαπάνης μεταπτυχιακού υποτρόφου από το πρόγραμμα Τεχνικής Βοήθειας της Ουνέσκο,0,0,0,0,1
επιβολη αναγκαστικης κατασχεσης χειρας δημοσιου τριτου απαιτησεων μισθου επιδοματων υπαλληλου ικανοποιηση αξιωσεων διατροφης υποβολη θετικης δηλωσης ακυρωση κατασχετηριου εγγραφου ασκηση ανακοπης καθ’ οφειλετη τηρηση δικονομικου τυπου επιβολη νεας κατασχεσης νομιμη υποβολη αρνητικης δηλωσης δημοσιου δυνατοτητα ανακλησης,Αναγκαστική κατάσχεση εις χείρας του Δημοσίου ως τρίτου. Μη νόμιμη δήλωση. Συνέπειες.,1,0,0,0,1
δημοσιευσεις προβλεπονται διαταξεις εδαφγ ειδικωτεραν κατηγοριαν οικονομικων εφημεριδων γινονται αφορουν εφαρμογη,Δημόσιοι υπάλληλοι. Αποχώρηση. Τριακονταπενταετία. Υπολογισμός προϋπηρεσίας στο Αστυνομικό Σώμα.,0,0,0,0,1
αναφερομενη υπηρεσια εξι χρονων αναγνωριστηκε μισθολογικη εξελιξη ορισμους θεωρειται πραγματικη συνταξιμη δημοσια υπηρεσια εφαρμογη διαταξεων,Α.Ε.Ι. – Προσωπικό – Εφεδρεία – Πραγματική και συντάξιμη υπηρεσία.,0,0,0,0,1
ισχυρες εκδοθεισες νομιμες προυποθεσεις πραγματικα δεδομενα ισχυαν εκδοσής αριθ αποφαση υπουργου εργασιας κοινωνικης ασφαλισης προνοιας τοποθετηση προισταμενης γενικη διευθυνση κοινωνικης ασφαλισης γενικης γραμματειας κοινωνικων ασφαλισεων υπουργειου αριθ αποφαση υπουργου παραμονη υπηρεσια περαν ασκει νομιμως καθηκοντά επιλογη τοποθετηση νεου προισταμενου νομιμη διαδικασια εως συμπληρωση ετους ηλικιας ερωτωσα αρμοδια υπηρεσια συμμορφωση προς αποφαση ολομελειας στε θεωρησει ακυρη τοποθετηση εγινε ακυρωθεισα υπουργικη αποφαση εκκινησει διαδικασια επιλογης προισταμενου γενικης διευθυνσης κοινωνικης ασφαλισης υπουργειου εργασιας κοινωνικης ασφαλισης κοινωνικης αλληλεγγυης συμπεριλαβει παραλειφθεισα υπαλληλο αιτουσα ακυρωτικη δικη εκδοθηκε αποφαση αποδεκτη,"Εγκυρότητα Υπουργικών Αποφάσεων περί ορισμού υπαλλήλου ως Προϊσταμένης και περί παραμονής της στην Υπηρεσία μέχρι τη συμπλήρωση του 67ου έτους της ηλικίας της και ενέργειες στις οποίες πρέπει να προβεί η Διοίκηση προς συμμόρφωση, μετά την έκδοση ακυρωτικής απόφασης του ΣτΕ.",0,0,0,0,1
δυνατον γινει συμψηφισμος απαιτησεων δημοσιο μτσιπλακος βιοπαλ αβεοταε απαιτησεις κοττον παλαμας αβεοταε δημοσιου ενοψει δευτερη εταιρια συνεστηθη εισφορα κλαδων πρωτης εταιριας συγκερκριμενη περιπτωση συντρεχουν προυποθεσεις εφαρμογης συμβαση μεταβιβαστηκε ποσοστο τμημα επιχειρησης μτσιπλακος βιοπαλ αβεοταε κοττον παλαμας αβεοταε χρεη υπαρκτα δημιουργηθεντα συστασεως δευτερης εταιριας βαρυνοντα πρωτη εταιρια εισφερομενους κλαδους δραστηριοτητα οποιων προεκυψαν χρεη ειδικα περι προκειται χρεη τσιπλακος βιοπαλ αβεοταε αφορωντα ποσα καταβληθεντα αχρεωστητως γεννηθηκαν καταβολης δηλ εως αφης απεκομισε παρανομο πλουτισμο,Συμψηφισμός απαιτήσεων του Δημοσίου κατά Ανωνύμου Εταιρείας.,1,0,1,0,0
ισχυς εκδιδομενων πιστοποιητικων αρχιζει ληγει εκτεινεται περαν αποκλειεται ληξη τουτων ημερομηνιας συνισταται ανωτερα βια ωστε δικαιολογειται παραταση ισχυος πιστοπιητικου,Παράταση πιστοποιητικού εισαγωγής βοείου κρέατος για λόγους ανωτέρας βίας.,0,1,0,0,0
διαταξεις προκυπτει σαφως εκδιδομενες μετοχες αυξηση κεφαλαιου ανωνυμες εταιρειες δυνανται διατιθενται αρτιο πλεον ονομαστικης αξιας απεριοριστα δοθεντος αγει αυξηση κεφαλαιου ανωνυμης εταιρειας μειζονα κατασφαλιση συμφεροντων δανειστων διοικηση αρνηθει καταχωριση μαε περιπτωση ακομη μεγαλης δις ονομαστικης τιμης τιμης διαθεσης,Ανώνυμες Εταιρείες. Αύξηση κεφαλαίου με μετοχές υπέρ το άρτιο.,0,0,1,0,0
